BIBLIOGRAFÍA	AUTOR	TÍTULO	FECHA	CRITERIO	BLOQUE	MEDIO	SOPORTE	TEMA	PAÍS	ZONA	TIPOLOGÍA	NOTAS	CONCORDANCIA

«Se inicia hoy el Torneo de basquetbol de menores». El Comercio. Lima: 1975-01-14.		El Comercio	1975	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	Perú	Andina		Procesado por medio de un programa de reconocimiento de voz. Mayúsculas no acentuadas en el original.	El certamen se torna interesante porque se trata de una categoría posterior a la de Mini básquet o sea que sirve para seguir promocionando a los jugadores en el baloncesto.
«Se inicia hoy el Torneo de basquetbol de menores». El Comercio. Lima: 1975-01-14.		El Comercio	1975	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	Perú	Andina		Procesado por medio de un programa de reconocimiento de voz. Mayúsculas no acentuadas en el original.	O sea que estarán en actividad oficial en el baloncesto 168 jugadores de la categoría menor, cuyos mejores elementos serán considerados por la Federación para que integren las futuras preselecciones nacionales de las categorías infantil y juvenil para los eventos nacionales internacionales.
Cagigal, José María: El deporte en la sociedad actual. Barcelona: Magisterio español; Prensa española; Editora nacional, 1975.	Cagigal, José María	El deporte en la sociedad actual	1975	Primera edición	No ficción	Escrito	Libro	Actualidad, ocio y vida cotidiana	España				Incluso en aquel tipo de competición basado en la victoria —siempre valor relativo— de un equipo sobre otro (baloncesto, fútbol, balonmano o hockey) o de un atleta sobre otro (lucha, boxeo, etc.), se buscan valoraciones objetivables en cifras: «máximos goleadores», «Máximos encestadores», «récord» de tantos, de puntuaciones, o de partidos internacionales. La marca o «récord» es hoy
Cagigal, José María: El deporte en la sociedad actual. Barcelona: Magisterio español; Prensa española; Editora nacional, 1975.	Cagigal, José María	El deporte en la sociedad actual	1975	Primera edición	No ficción	Escrito	Libro	Actualidad, ocio y vida cotidiana	España				filológicos. No se puede eliminar de un concepto evolucionado una acepción original, sin plena evidencia de que dicha acepción haya caído en total desuso. Y nadie ha logrado «evidenciar» tal desuso. Para ir a practicar cualquier deporte, dicen los niños: «vamos a jugar» al (fútbol, hockey, baloncesto...). De un deportista público se dice: «jugó muy bien Fulano el último partido». El acontecimiento deportivo más importante de nuestro tiempo, se llama «Juegos Olímpicos». A una buena acción deportiva se le denomina «buena jugada». En las explicaciones docentes sobre técnica y táctica de un deporte
Cagigal, José María: El deporte en la sociedad actual. Barcelona: Magisterio español; Prensa española; Editora nacional, 1975.	Cagigal, José María	El deporte en la sociedad actual	1975	Primera edición	No ficción	Escrito	Libro	Actualidad, ocio y vida cotidiana	España				piscina de 50 metros terminará supeditada a campeonatos, entrenamiento de especialistas, etc., quedando relegado a segundo o tercer Ludmila Tourischeva. Los estados han descubierto en el deporte una ocasión de propaganda. término, el simple practicante sin aspiraciones. Al igual que de una piscina, puede decirse de una pista de atletismo, una cancha de baloncesto, un campo de fútbol. El problema existe y es reflejo del conflicto general que tienen planteado en nuestra sociedad los organismos responsables a la vez de ambos deportes (la mayoría de los organismos rectores del deporte en el mundo).
Cagigal, José María: El deporte en la sociedad actual. Barcelona: Magisterio español; Prensa española; Editora nacional, 1975.	Cagigal, José María	El deporte en la sociedad actual	1975	Primera edición	No ficción	Escrito	Libro	Actualidad, ocio y vida cotidiana	España				han surgido en los últimos años numerosas  organizaciones internacionales, con diversos objetivos, alrededor de la vida deportiva. En los momentos actuales se pueden contabilizar más de setenta y cinco organizaciones de carácter más o menos mundial. Además de las Federaciones Internacionales concretadas en cada modalidad deportiva (Federación Internacional de Atletismo, de Fútbol, de Boxeo, de Baloncesto, etc.) que, sin contar las de carácter continental o regional, rebasan la cifra de cincuenta; existe un nutrido grupo de asociaciones referidas al deporte en general. Sin ser exhaustivos, y sólo a modo informativo y como pauta para nuestras reflexiones, se citan a continuación las más representativas y activas en el
Cagigal, José María: El deporte en la sociedad actual. Barcelona: Magisterio español; Prensa española; Editora nacional, 1975.	Cagigal, José María	El deporte en la sociedad actual	1975	Primera edición	No ficción	Escrito	Libro	Actualidad, ocio y vida cotidiana	España				elaboradas. No afirmo con ello que las cifras hayan sido falseadas, mentirosas. No se ha mentido en la contabilización del deporte español contemporáneo. Pero no se ha dicho toda la verdad. Baste un ejemplo: Cuando un atleta juvenil participaba en competiciones juveniles federadas de atletismo, en competiciones escolares de atletismo y de baloncesto, en competiciones de atletismo de categoría absoluta, por ejemplo, además de su contabilización en la Federación de Atletismo, sumaba independientemente en las estadísticas de los juegos Escolares por partida doble del atletismo y baloncesto. Después, a su vez, esas diversas contabilizaciones eran sumadas y ofrecidas —indudablemente sin mala intención— como cifra
Cagigal, José María: El deporte en la sociedad actual. Barcelona: Magisterio español; Prensa española; Editora nacional, 1975.	Cagigal, José María	El deporte en la sociedad actual	1975	Primera edición	No ficción	Escrito	Libro	Actualidad, ocio y vida cotidiana	España				un ejemplo: Cuando un atleta juvenil participaba en competiciones juveniles federadas de atletismo, en competiciones escolares de atletismo y de baloncesto, en competiciones de atletismo de categoría absoluta, por ejemplo, además de su contabilización en la Federación de Atletismo, sumaba independientemente en las estadísticas de los juegos Escolares por partida doble del atletismo y baloncesto. Después, a su vez, esas diversas contabilizaciones eran sumadas y ofrecidas —indudablemente sin mala intención— como cifra absoluta independiente.
Cagigal, José María: El deporte en la sociedad actual. Barcelona: Magisterio español; Prensa española; Editora nacional, 1975.	Cagigal, José María	El deporte en la sociedad actual	1975	Primera edición	No ficción	Escrito	Libro	Actualidad, ocio y vida cotidiana	España				Año tras año, los aficionados al deporte, llegada cierta época, se congratulaban del gran porvenir internacional inmediato que se auguraba al deporte español, puesto que en estos niveles de juveniles-escolares se obtenían muchas medallas de oro. «Campeones europeos de la F.I.S.E.C.» eran, año tras año, el equipo español de baloncesto, numerosos atletas de diversas modalidades, nadadores, etc. Con el correr de los años, estos campeones, hechos aparente realidad en el período juvenil, se malograban, no cuajaban en triunfos internacionales de adultos. Nunca he leído, en muchos años de permanencia de esta competición, una explicación clara de lo que significaban los
Cagigal, José María: El deporte en la sociedad actual. Barcelona: Magisterio español; Prensa española; Editora nacional, 1975.	Cagigal, José María	El deporte en la sociedad actual	1975	Primera edición	No ficción	Escrito	Libro	Actualidad, ocio y vida cotidiana	España				más bien de ambiente universitario; pero tenían pocos adeptos antes de la década de los cuarenta. Una seria visión pedagógica del Frente de Juventudes, Sección Femenina, Educación y Descanso, y S.E.U., lanzó a esos cuadros dirigentes a la promoción de otros deportes casi desconocidos o desconocidos del todo en España, como baloncesto, balonmano, balonvolea, piragüismo, hockey, tiro con arco, aeromodelismo, etc. Se inició una política de construcción de instalaciones deportivas, de campos de la juventud que frenaron enormes vacíos. En no muchos años la juventud española tenía contacto directo con una amplia gama del deporte. Unos cuadros desinteresados, entusiastas,
«Y... ganaron las incas». El Tiempo. Bogotá: 1975-01-14.		El Tiempo	1975	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	Colombia	Caribe continental		Procesado por medio de un programa de reconocimiento de voz. No se acentúan las mayúsculas en el original.	Tres colombianas asedian a una jugadora del Perú, campeón boliviano de baloncesto en San Cristóbal. Las incas triunfaron por marcador de 61 puntos contra 53. Colombia fue segundo. (Foto de G. Cuervo Z.)
«SAN CRISTOBAL». El Tiempo. Bogotá: 1975-01-14.		El Tiempo	1975	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	Colombia	Caribe continental		Procesado por medio de un programa de reconocimiento de voz. No se acentúan las mayúsculas en el original.	SAN CRISTOBAL, Venezuela, 13. (Por Gerardo Cuervo Z.) El equipo masculino que por Colombia toma parte en el boliviarano de baloncesto, fue lanzado hoy al cuarto y último lugar al ser derrotado por el representativo del Perú el más opcionado ganador. Las anotaciones fueron de 68-52, con parcial de 42-30.
