BIBLIOGRAFÍA	AUTOR	TÍTULO	FECHA	CRITERIO	BLOQUE	MEDIO	SOPORTE	TEMA	PAÍS	ZONA	TIPOLOGÍA	NOTAS	CONCORDANCIA

Almeida, Jorge: Cómo cuidar al bebé. El libro de mamá. Nueva orientación médico-psicológica. Buenos Aires: Paidós, 1975.	Almeida, Jorge	Cómo cuidar al bebé. El libro de mamá. Nueva orientación médico-psicológica	1975	Primera edición	No ficción	Escrito	Libro	Salud	Argentina	Río de la Plata		Incluye al final un breve diccionario pediátrico que hemos excluido	una conversación "entre mayores". Si el ambiente familiar lo justifica, será necesario un estudio psicológico para aclararlo, aunque la mayoría de las veces bastan algunas indicaciones del pediatra para modificar la actitud de la familia frente al niño. Habrá que encontrar una actividad que le interese: trabajos manuales, campamentos, deportes, son las más adecuadas, pero al principio puede bastar pintura, fotografía, en fin, cualquier cosa que lo distraiga de su máxima atracción que es la comida. Entretanto, todos en la casa irán disminuyendo lentamente las pastas, el pan, los cereales, la papa, el azúcar, los dulces,
Palou, Inés: Carne apaleada. Barcelona: Círculo de Lectores, 1975.	Palou, Inés	Carne apaleada	1975	Primera edición	Ficción	Escrito	Libro	Novela	España				Es gracia que dejen practicar alguna afición, música, deporte, etc.
Sintes Pros, Jorge: Los peligros del colesterol. Barcelona: Sintes S.A., 1975.	Sintes Pros, Jorge	Los peligros del colesterol	1975	Primera edición	No ficción	Escrito	Libro	Salud	España			El autor no acentúa las mayúsculas	lo sabe mejor que nunca, pues su vitalidad física y sexual dependen del buen funcionamiento de estos órganos esenciales llamados las glándulas. Ellas son las que nos estimulan, nos proporcionan una gran parte de nuestra energía, nos dan el gusto y la fuerza de realizar un montón de cosas, sea el trabajo, el deporte, el estudio o una sexualidad normal. Son ellas también las que aseguran la reproducción de los seres y hacen que nos sintamos dichosos cuando gozamos de buena salud. Con mayor razón, si las glándulas han desempeñado un papel tan importante antes de la edad madura, ellas cuentan mucho en el mantenimiento del equilibrio mental
Sintes Pros, Jorge: Los peligros del colesterol. Barcelona: Sintes S.A., 1975.	Sintes Pros, Jorge	Los peligros del colesterol	1975	Primera edición	No ficción	Escrito	Libro	Salud	España			El autor no acentúa las mayúsculas	La práctica de deportes variados es igualmente una sana línea de conducta a seguir. Los momentos pasados de excursión, de simple paseo, en trabajos de jardinería y reparaciones caseras, en la caza, en la pesca, son considerados como un tiempo precioso y «vital», un tiempo de recuperación bienhechora, física y mental. Esto no
Sintes Pros, Jorge: Los peligros del colesterol. Barcelona: Sintes S.A., 1975.	Sintes Pros, Jorge	Los peligros del colesterol	1975	Primera edición	No ficción	Escrito	Libro	Salud	España			El autor no acentúa las mayúsculas	Pero hay que actuar con cautela. La cultura física, el ejercicio, el deporte, debe realizarse con método, debe ser prudente, adaptado a la edad y a la fuerza del sujeto, y no dar jamás lugar al —«surmenage», sobre todo si el interesado ha estado mucho tiempo sin efectuar ejercicios.
Sintes Pros, Jorge: Los peligros del colesterol. Barcelona: Sintes S.A., 1975.	Sintes Pros, Jorge	Los peligros del colesterol	1975	Primera edición	No ficción	Escrito	Libro	Salud	España			El autor no acentúa las mayúsculas	La gimnasia, la marcha por el campo y todos los otros deportes practicados con moderación tienen sobre todo un valor preventivo.
«&#34;El niño es el privilegiado de esta Revolución&#34;». El Comercio. Lima: 1975-01-14.		El Comercio	1975	Primera edición	No ficción	Escrito	Prensa	Ciencias sociales, creencias y pensamiento	Perú	Andina		Procesado por medio de un programa de reconocimiento de voz. Mayúsculas no acentuadas en el original.	Técnicos en recreación y deportes trabajarán en coordinación con los municipios bajo la organización del Ministerio de Educación, a través del INRED.
«&#34;El niño es el privilegiado de esta Revolución&#34;». El Comercio. Lima: 1975-01-14.		El Comercio	1975	Primera edición	No ficción	Escrito	Prensa	Ciencias sociales, creencias y pensamiento	Perú	Andina		Procesado por medio de un programa de reconocimiento de voz. Mayúsculas no acentuadas en el original.	La gigante movilización permitirá abarcar casi todos los deportes y dará oportunidad a que se practiquen nuevas modalidades. La medida no tiene precedentes en nuestro medio.
«Caminar es un ejercicio que aconsejan los especialistas». El Comercio. Lima: 1975-01-14.		El Comercio	1975	Primera edición	No ficción	Escrito	Prensa	Salud	Perú	Andina		Procesado por medio de un programa de reconocimiento de voz. Mayúsculas no acentuadas en el original.	en cuanto al corazón elimina el dolor y deportes y ejercicio constituye el mejor antídoto contra la arterioesclerosis, indicó Sirtori, concluyendo con la sugerencia de que "la tendencia actual que afirma que el hombre debe recorrer cada día veinte kilómetros a pie para conservarse sano, debe ser entendida como la necesidad de activar los centros vitales de nuestro organismo".
«Hacen falta jueces para colaborar con el vóley». El Comercio. Lima: 1975-01-14.		El Comercio	1975	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	Perú	Andina		Procesado por medio de un programa de reconocimiento de voz. Mayúsculas no acentuadas en el original.	La Federación Peruana de Voleybol tiene un plan para la formación de grupos de entrenadores de este deporte y también jueces que colaboren en forma gratuita con el desarrollo de esta especialidad.
«Hacen falta jueces para colaborar con el vóley». El Comercio. Lima: 1975-01-14.		El Comercio	1975	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	Perú	Andina		Procesado por medio de un programa de reconocimiento de voz. Mayúsculas no acentuadas en el original.	La mayor parte de estos futuros técnicos de voleybol son profesores de educación física quienes divulgarán y enseñarán el deporte de la net en los colegios y también en los clubes de los barrios. Los otros son elementos enviados por algunos clubes que están recibiendo conocimientos con el fin de levantar el nivel deportivo en sus instituciones.
«Stens de Curazao ganó a Universitario 5 a 4». El Comercio. Lima: 1975-01-14.		El Comercio	1975	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	Perú	Andina		Procesado por medio de un programa de reconocimiento de voz. Mayúsculas no acentuadas en el original.	Ferrocarril Oeste de Argentina evidenció ayer su gran capacidad, al imponerse en forma categórica al Regatas Lima y Universitario de Deportes por tres sets a cero. Las platenses desde ya se ubican como una de las favoritas al título del Torneo de Campeones de Clubes, que se lleva a cabo en el Gimnasio de la Federación Peruana de Tenis de Mesa, en el Estadio Nacional.
«Festivales atléticos seguirán este domingo». El Comercio. Lima: 1975-01-14.		El Comercio	1975	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	Perú	Andina		Procesado por medio de un programa de reconocimiento de voz. Mayúsculas no acentuadas en el original.	Estos festivales atléticos en coordinación con las Municipalidades, tienen como principal objetivo, lograr una amplia difusión del deporte base en forma descentralizada y también aprovechar la capacidad operativa de los Concejos distritales para que luego de las enseñanzas técnicas que les proporciona la Federación, sobre cómo organizar los festivales atléticos, puedan posteriormente, por intermedio de las Inspecciones de Deportes con sus propios recursos, seguir realizando festivales atléticos en los parques y campos deportivos que
«Festivales atléticos seguirán este domingo». El Comercio. Lima: 1975-01-14.		El Comercio	1975	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	Perú	Andina		Procesado por medio de un programa de reconocimiento de voz. Mayúsculas no acentuadas en el original.	coordinación con las Municipalidades, tienen como principal objetivo, lograr una amplia difusión del deporte base en forma descentralizada y también aprovechar la capacidad operativa de los Concejos distritales para que luego de las enseñanzas técnicas que les proporciona la Federación, sobre cómo organizar los festivales atléticos, puedan posteriormente, por intermedio de las Inspecciones de Deportes con sus propios recursos, seguir realizando festivales atléticos en los parques y campos deportivos que existan en sus jurisdicciones.
