BIBLIOGRAFÍA	AUTOR	TÍTULO	FECHA	CRITERIO	BLOQUE	MEDIO	SOPORTE	TEMA	PAÍS	ZONA	TIPOLOGÍA	NOTAS	CONCORDANCIA

Palou, Inés: Carne apaleada. Barcelona: Círculo de Lectores, 1975.	Palou, Inés	Carne apaleada	1975	Primera edición	Ficción	Escrito	Libro	Novela	España				A mí tampoco me odiaba la señorita Trini. Yo era catalana, como su amiga María Teresa, y ésta me apreciaba de veras a mí. La señorita Trini, conmigo, debía de aplicar aquello de la ley de la ventaja en el fútbol: me dejaba hacer. Las amigas de María Teresa debían ser sus amigas. Aunque a mí, personalmente, me hacía muy poca gracia la señorita Trini. No me caía bien en nada. Pero nunca se lo demostré. Le tenía el máximo respeto. No olvidaba ni un solo momento que llevaba uniforme. Las dos
«Hoy inauguran labores en Cartavio». El Comercio. Lima: 1975-01-14.		El Comercio	1975	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	Perú	Andina		Procesado por medio de un programa de reconocimiento de voz. Mayúsculas no acentuadas en el original.	Cada fin de semana los trabajadores y funcionarios casagrandinos participarán en competencias de fútbol y fulbito, frente a la agradable brisa marina.
«&#34;1975 sería mi año. Le tengo fe así como tengo fe en el Perú&#34;, dice Augusto Salazar». El Comercio. Lima: 1975-01-14.		El Comercio	1975	Primera edición	No ficción	Escrito	Prensa	Artes, cultura y espectáculos	Perú	Andina		Procesado por medio de un programa de reconocimiento de voz. Mayúsculas no acentuadas en el original.	vecinos". Salazar no deja de reconocer que todo se lo debe a Augusto Ferrando que le dio oportunidad, hace 4 años, cuando buscaba encontrar una meta, un horizonte. Se presentó en "Trampolín a la Fama" y ahí comenzó todo. En su juventud, llena de penurias, practicó el box y el fútbol. "De no ser por mi madre me hubiera hecho boxeador profesional" nos cuenta. Ahora, no la falta trabajo, pese a que nació en 1º de mayo y es feliz con su arte y su hijo, pese a que es viudo y confía en que "nunca es tarde para volver a empezar". (
«Hacen falta jueces para colaborar con el vóley». El Comercio. Lima: 1975-01-14.		El Comercio	1975	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	Perú	Andina		Procesado por medio de un programa de reconocimiento de voz. Mayúsculas no acentuadas en el original.	están en condiciones de pagar "Se ha dado caso en que las exiguas taquillas de los campeonatos de las Ligas lo llevan todo los árbitros, porque cobran cuatro personas que son: Dos jueces de línea y dos árbitros (el de competencia y el de red)". Expresó este vocero agregando q' en el fútbol se paga a cuatro jueces para un encuentro.
«Hacen falta jueces para colaborar con el vóley». El Comercio. Lima: 1975-01-14.		El Comercio	1975	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	Perú	Andina		Procesado por medio de un programa de reconocimiento de voz. Mayúsculas no acentuadas en el original.	También refirió que el arbitraje para el voleybol es muy sencillo y no requiere esfuerzo físico como en el fútbol donde el árbitro y los dos jueces de líneas tiene que correr durante todo el cotejo.
«Cienciano jugará con Defensor el día miércoles 29». El Comercio. Lima: 1975-01-14.		El Comercio	1975	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	Perú	Andina		Procesado por medio de un programa de reconocimiento de voz. Mayúsculas no acentuadas en el original.	Defensor Lima y Unión Cienciano jugarán el miércoles 29 del corriente en la ciudad de Cuzco, el partido que debían disputar el domingo pasado por la cuadragésima fecha del descentralizado.– La nueva fecha fue aprobada anoche por la Asociación Nacional de Fútbol en vista de que el equipo "granate" debe competir a partir de mañana en un Medellín (Colombia) el torneo "Simón Bolívar".
«Unión Pesquero y Junín jugarán hoy en Huancayo». El Comercio. Lima: 1975-01-14.		El Comercio	1975	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	Perú	Andina		Procesado por medio de un programa de reconocimiento de voz. Mayúsculas no acentuadas en el original.	Huancayo, 13 (Corresponsal).– Mañana martes, a las 4 de la tarde jugarán aquí los representativos del Unión Pesquero de Ilo, y el Deportivo Junín de Huancayo. Así lo decidió hoy la Asociación Nacional de Fútbol, después de verificar la inasistencia el domingo del Unión Pesquero, lo que se debió a un problema imprevisto (la interrupción de la vía Central, a la altura de Matucana, que impidió que el equipo llegara a tiempo para su compromiso por el Descentralizado de Fútbol).
«Unión Pesquero y Junín jugarán hoy en Huancayo». El Comercio. Lima: 1975-01-14.		El Comercio	1975	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	Perú	Andina		Procesado por medio de un programa de reconocimiento de voz. Mayúsculas no acentuadas en el original.	Huancayo. Así lo decidió hoy la Asociación Nacional de Fútbol, después de verificar la inasistencia el domingo del Unión Pesquero, lo que se debió a un problema imprevisto (la interrupción de la vía Central, a la altura de Matucana, que impidió que el equipo llegara a tiempo para su compromiso por el Descentralizado de Fútbol).
Cagigal, José María: El deporte en la sociedad actual. Barcelona: Magisterio español; Prensa española; Editora nacional, 1975.	Cagigal, José María	El deporte en la sociedad actual	1975	Primera edición	No ficción	Escrito	Libro	Actualidad, ocio y vida cotidiana	España				equipo de club importante o una selección nacional pierde un encuentro decisivo, es fácil leer en la prensa: «gran crisis», decadencia del Club , o de tal deporte. Así, por ejemplo, en los comienzos del año 1974, la prensa deportiva española, reiteraba su preocupación por el equipo de fútbol del Real Madrid, seis veces Campeón de Europa, y que ocupaba en aquel momento el noveno puesto en la Liga Nacional. «Crisis en el Real Madrid»; «¿qué sucede en el gran Club?», «dura época de transición»... Y los triunfalistas de las jornadas de gloria, incapaces de
