BIBLIOGRAFÍA	AUTOR	TÍTULO	FECHA	CRITERIO	BLOQUE	MEDIO	SOPORTE	TEMA	PAÍS	ZONA	TIPOLOGÍA	NOTAS	CONCORDANCIA

Viezzer, Moema: Si me permiten hablar.... México: Siglo XXI, 1980.	Viezzer, Moema	Si me permiten hablar...	1977	Primera edición	No ficción	Escrito	Libro	Ciencias sociales, creencias y pensamiento	Bolivia	Andina		Subtítulo: testimonio de Domitila. Una mujer de las minas de Bolivia. Por eso, aunque su autora sea brasileña, consideramos la obra de Bolivia	Bueno, como entre el ejército y las mujeres y niños ya no podía haber enfrentamiento, hicieron llamar de La Paz a las mujeres-policías. Al día siguiente, a primera hora estaban ellas en la bocamina. Son mujeres fuertes, todas entrenadas en karate. Y nuestras mujeres, cuando tuvieron la noticia de que las policías habían llegado, ya no fueron a la bocamina. Asia que ellas se quedaron "con los crespos hechos".
Paso, Fernando del: Palinuro de México. Madrid: Alfaguara, 1982.	Paso, Fernando del	Palinuro de México	1977	Primera edición	Ficción	Escrito	Libro	Novela	México	México y Centroamérica		Premio de Novela México 1975. Premio Rómulo Gallegos 1982. El capítulo 24 (pp. 629-696) es una pieza de teatro. No acentúa las mayúsculas	un descuido espectroscópico el arcoíris se cae en los charcos de petróleo: son los días sin remedio, las horas mediocres que atesoran nimiedades, inventarios inofensivos y olvidados. En nuestro recorrido por los pabellones nos acompañarán los más destacados cirujanos y especialistas de nuestro personal, entre los cuales figuran algunos patólogos que han tomado cursos de karate para controlar a los maniáticos, así como fisiólogos encuadernados a las teorías de Santiago Ramón y Cajal. Y olvidaba decirle, doctor, que hay días también,  como éste, para visitar hospitales, para comprender que si existen los microscopios bañados con babas y los bisturíes que encanecen en los frascos de alcohol, también hay estrellas
«Errores sobre el idioma japonés». ABC. Madrid: Prensa Española, S.A., 1978-01-31.		ABC	1978	Primera edición	No ficción	Escrito	Prensa	Ciencias sociales, creencias y pensamiento	España			Mayúsculas no acentuadas en el original	Otro error frecuente, es el de quienes pronuncian o escriben «kárate» en lugar de «karate». Aunque sus tres sílabas son breves, se trata de una palabra llana tan llana como «katana» o «kimono») y no hay ningún motivo para que en español la convirtamos en esdrújula.– Ramiro PLANAS GARCIA DE DIOS.
«Errores sobre el idioma japonés». ABC. Madrid: Prensa Española, S.A., 1978-01-31.		ABC	1978	Primera edición	No ficción	Escrito	Prensa	Ciencias sociales, creencias y pensamiento	España			Mayúsculas no acentuadas en el original	Otro error frecuente, es el de quienes pronuncian o escriben «kárate» en lugar de «karate». Aunque sus tres sílabas son breves, se trata de una palabra llana tan llana como «katana» o «kimono») y no hay ningún motivo para que en español la convirtamos en esdrújula.– Ramiro PLANAS GARCIA DE DIOS.
Galeano, Eduardo: Días y noches de amor y de guerra. Barcelona: Laia, 1979.	Galeano, Eduardo	Días y noches de amor y de guerra	1978	Primera edición	No ficción	Escrito	Libro	Ciencias sociales, creencias y pensamiento	Uruguay	Río de la Plata		Premio Casa de las Américas, 1978. Se trata de una serie de fragmentos de pensamientos o recuerdos del autor, un texto que bordea la ficción pero que no encaja en las categorías de novela o relatos.	En París, el Bidente es campeón de judo y karate. Un jeque árabe lo contrata para que organice su ejército mercenario. Es larga y dura la guerra contra los republicanos. El Bidente se arrastra por el desierto junto al único soldado sobreviviente. Días y noches compartiendo la sed y la esperanza: avanzan en silencio por los médanos, ríen juntos, lloran juntos. No
«Los mejor dotados». Revista Hoy. Santiago de Chile: 1978-02-07.		Revista Hoy	1978	Primera edición	No ficción	Escrito	Prensa	Ciencias sociales, creencias y pensamiento	Chile	Chilena		Procesado por medio de un programa de reconocimiento de voz	En todo caso acepté concurrir al Estadio Nacional, al México Boxing Club, al Estadio Nataniel o a la Academia de Karate Kung Fu, que eran los lugares destinados a las pruebas de preselección.
«Quieren ayuda para la conservación del barrio de Malasaña». El País. Madrid: Diario El País, S.A., 1978-07-05.		El País	1978	Primera edición	No ficción	Escrito	Prensa	Ciencias sociales, creencias y pensamiento	España			Mayúsculas no acentuadas en el original	Chamartín cuenta con una nueva instalación deportiva desde anteayer, en que fue inaugurada por el actual alcalde. Esta nueva dotación social consta de una piscina olímpica cubierta —ya en funcionamiento— y unen el que podrán practicarse diversos deportes, entre gimnasia, judo, kárate, natación y voleibol.
Grupo Teatro La Candelaria: Golpe de suerte. Bogotá: Colombia Nueva, 1986.	Grupo Teatro La Candelaria	Golpe de suerte	1980	Fecha de estreno	Ficción	Escrito	Libro	Teatro	Colombia	Caribe continental		En el mismo volumen aparecen "Guadalupe años sin cuenta" y "Los diez días que estremecieron al mundo".	En el tercer round don Félix golpea a Palomino y lo deja en el suelo. Marta sube con un revólver. La muerte se lo arrebata y le da un golpe de karate. Don Félix le quita el revólver a la muerte y le da a Palomino cinco tiros en la cabeza. Marta ha quedado en el suelo tendida. Los hampones y los jueces van ante el dios por su dinero. Entre tanto, la muerte sostiene en alto la mano de don Félix. El entrenador de don Félix
«HERNÁN MILLAS». Revista Hoy. Chile: 1981-01-13.		Revista Hoy	1981	Primera edición	No ficción	Escrito	Prensa	Ciencias sociales, creencias y pensamiento	Chile	Chilena		Procesado por medio de un programa de reconocimiento de voz. Mayúsculas no acentuadas en el original.	— No. Bastará aclarar que al hablar del cultivo de las artes se sobreentiende que se refiere a las artes marciales, como el kárate.
«Cuatro medallas para España en los Europeos de Roma». ABC. Madrid: Prensa Española, S.A., 1982-09-27.		ABC	1982	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España			Mayúsculas no acentuadas en el original	– España se ha clasificado en segundo lugar en el II trofeo Villa de Madrid de kárate. El vencedor fue Holanda. Por la tarde, en un nuevo trofeo, la selección de Castilla quedó tercera, empatada don Italia; Francia e Inglaterra quedaron en las dos primeras posiciones.
Rosales Barrera, Susana; Reyes Gómez, Eva: Fundamentos de enfermería. México D.F.; Santafé de Bogotá: El manual moderno, 1999.	Rosales Barrera, Susana; Reyes Gómez, Eva	Fundamentos de enfermería	1982	Primera edición	No ficción	Escrito	Libro	Salud	México	México y Centroamérica			– Éste se realiza individual o grupalmente; al aire libre o en espacios restringidos y en diferentes modalidades. Los más frecuentes son atletismo (carrera, salto, lanzamiento); natación y buceo; de pelota  (baloncesto, fútbol, béisbol); de defensa (lucha, boxeo, judo, karate, aikido); náuticos (remo); al aire libre (ciclismo, polo, motorizados, equitación); de invierno (esquí, patinaje).
Schwartz, Fernando: La conspiración del Golfo. Barcelona: Planeta, 1983.	Schwartz, Fernando	La conspiración del Golfo	1982	Primera edición	Ficción	Escrito	Libro	Novela	España			Finalista Premio Planeta 1982	— Está metido en cosas de ordenadores. Está medio chiflado: lo único que le gusta es eso, y el karate.
Schwartz, Fernando: La conspiración del Golfo. Barcelona: Planeta, 1983.	Schwartz, Fernando	La conspiración del Golfo	1982	Primera edición	Ficción	Escrito	Libro	Novela	España			Finalista Premio Planeta 1982	. Su desierto... Seguro que  habría escogido una muerte así. Yo creo que ni se enteró. —Suspiró—. El resto fue relativamente sencillo. Estos árabes son tan petulantes que no conciben que alguien les pueda ganar en su propio terreno. Fue sencillo, la verdad —repitió—. Sé un poco de karate... Al beduino ése le va a doler el cuello durante unos días.
Traversa, Óscar: Cine: El significante negado. Buenos Aires: Hachette, 1984.	Traversa, Óscar	Cine: El significante negado	1984	Primera edición	No ficción	Escrito	Libro	Artes, cultura y espectáculos	Argentina	Río de la Plata		Mayúsculas sin acentuar en el original	mortal, no hace alusión a la misma cosa que aquélla que anuncia El hombre de la pistola de oro. Acá, James Bond, con la pistola en mano, es precedido por el dibujo de una gran pistola dorada; a ambos lados, dos mujeres semidesnudas; arriba a la derecha, un hombre en posición de karate y otro que lo enfrenta, y aún... olvidamos unas tres o cuatro imágenes suplementarias. Todo esto está lejos de la generalidad del vermouth y de las aceitunas, y la crítica será llamada a poner orden en tanta diversidad.
«VIVIR SIN CHILE». Revista Hoy. Santiago de Chile: 1983-01-31.		Revista Hoy	1984	Primera edición	No ficción	Escrito	Prensa	Ciencias sociales, creencias y pensamiento	Chile	Chilena		Procesado por medio de un programa de reconocimiento de voz. Mayúsculas no acentuadas	y evitar un ataque terrorista como había sucedido más de una vez. Una familia de chilenos se trasladó de Jerusalén a Barcelona y matriculó al más pequeño de sus hijos en una escuela pública. El niño tenía ocho años. En el primer recreo dejó fuera de combate a doce de sus compañeros aplicando sus conocimientos de kárate. Al resto de los niños, que lo miraban con terror, les advirtió:
«'Estudio directo', un nuevo programa dedicado al deporte y los espectáculos». El País. Madrid: Diario El País, S.A., 1984-04-01.		El País	1984	Primera edición	No ficción	Escrito	Prensa	Artes, cultura y espectáculos	España				, Mitos y chirigotas, que hoy representa por última vez en un teatro madrileño. En el aspecto futbolístico esta tarde se ofrece un reportaje del Cádiz – Barcelona, celebrado ayer, y, en otros campos deportivos, destaca la presencia de Díaz Miguel, seleccionador nacional de baloncesto, y otras informaciones sobre la Copa del Mundo de Karate, ciclismo y wind-surfing. A lo largo del programa se irán recogiendo las últimas noticias llegadas a la redacción de deportes de los servicios informativos, así como el resultado de las quinielas futbolística e hípica. Posteriormente, y a cargo del mismo equipo, se emitirá el habitual Estudio estadio.
«El niño español que eligió Bergman para protagonizar 'Fanny y Alexander'». El País. Madrid: Diario El País, S.A., 1984-04-02.		El País	1984	Primera edición	No ficción	Escrito	Prensa	Artes, cultura y espectáculos	España				y las entrevistas, caido el telón, aspira a seguir en su escuela de música de Estocolmo, a dar conciertos, a cantar en su grupo After shave, de música barber-shop, inspirada en los años veinte americanos, y, sobre todo, a continuar con el baloncesto, el tenis, el fútbol y el kárate.
«Fallece de infarto un profesor de karate que practicaba 'footing' en el Retiro». El País. Madrid: Diario El País, S.A., 1984-06-01.		El País	1984	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España				Fallece de infarto un profesor de karate que practicaba 'footing' en el Retiro
«Fallece de infarto un profesor de karate que practicaba 'footing' en el Retiro». El País. Madrid: Diario El País, S.A., 1984-06-01.		El País	1984	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España				Akio Fukuoka, ciudadano japonés de 37 años, falleció el viernes de infarto de miocardio cuando practicaba footing en el parque del Retiro en compañía de un amigo, según informó ayer la Jefatura Superior de Policía de Madrid. Alrededor de las ocho de la mañana, Akio Fukuoka, que trabajaba en España como profesor de karate, sufrió un desfallecimiento cuando corría por el parque y a continuación le sobrevino el infarto. Su acompañante, un joven de 25 años, al ver que su amigo no se recuperaba tras los primeros auxilios, avisó a un vehículo policial que patrullaba por el parque. Fukuoka fue traslado urgentemente a un centro médico pero
«'Rocky' en pequeñito». El País. Madrid: Diario El País, S.A., 1984-06-01.		El País	1984	Primera edición	No ficción	Escrito	Prensa	Artes, cultura y espectáculos	España				CINE / 'KARATE KID'
«'Rocky' en pequeñito». El País. Madrid: Diario El País, S.A., 1984-06-01.		El País	1984	Primera edición	No ficción	Escrito	Prensa	Artes, cultura y espectáculos	España				Karate Kid. Director. John G. Avili1sen. Guión: Robert Mark Kamen. Música: Bill Conti. Intérpretes: Ralph Maccio, Noriyuki TatWorita, Elisabeth Suue. Aventuras, norteamericana, 1984. Estreno: Palacio de la Música, Belliure, Juan de Austria. Madrid.
«'Rocky' en pequeñito». El País. Madrid: Diario El País, S.A., 1984-06-01.		El País	1984	Primera edición	No ficción	Escrito	Prensa	Artes, cultura y espectáculos	España				El éxito que tuvo hace unos años John G. Avildsen con el primer Rocky, y quizá también el desengaño que le causó el no ser elegido para la prolongación de esta película han sido, probablemente, los estímulos que le han provocado este filme, ya que Karate Kid es, en esencia, un calco de aquella misma fórmula que tanto éxito le proporcionó. En esta ocasión, el boxeo ha sido cambiado por el karate; el agresivo joven, por un blanco adolescente, y las motivaciones de su lucha, por el triunfo, aunque en ambos casos un ingenuo optimismo de cuento
«'Rocky' en pequeñito». El País. Madrid: Diario El País, S.A., 1984-06-01.		El País	1984	Primera edición	No ficción	Escrito	Prensa	Artes, cultura y espectáculos	España				el desengaño que le causó el no ser elegido para la prolongación de esta película han sido, probablemente, los estímulos que le han provocado este filme, ya que Karate Kid es, en esencia, un calco de aquella misma fórmula que tanto éxito le proporcionó. En esta ocasión, el boxeo ha sido cambiado por el karate; el agresivo joven, por un blanco adolescente, y las motivaciones de su lucha, por el triunfo, aunque en ambos casos un ingenuo optimismo de cuento de hadas corone sus hazañas. Sin el tono sombrío que a veces florecía en Rocky, Avildsen retrata las peripecias de un muchacho atormentado en el colegio por agresivos
