BIBLIOGRAFÍA	AUTOR	TÍTULO	FECHA	CRITERIO	BLOQUE	MEDIO	SOPORTE	TEMA	PAÍS	ZONA	TIPOLOGÍA	NOTAS	CONCORDANCIA

Cagigal, José María: El deporte en la sociedad actual. Barcelona: Magisterio español; Prensa española; Editora nacional, 1975.	Cagigal, José María	El deporte en la sociedad actual	1975	Primera edición	No ficción	Escrito	Libro	Actualidad, ocio y vida cotidiana	España				o de infraestructuras, e incluso para justipreciar los resultados del deporte de alta competición, más significación que las medallas olímpicas o los títulos mundiales, tienen los «ranking» o listas de 100 mejores marcas (o 1000 ó 50) que todos los países presentan en cada una de sus pruebas medibles —atletismo, natación, etc.— Incluso en las modalidades en que no es posible una justa homologación, debido a la variedad de condiciones según el lugar y la época en que se celebra cada competición, y, consecuentemente, es imposible establecer unas marcas objetivas; se procede a un sistema complejo de cuantificaciones, materializadas en tablas de puntuación con
Cagigal, José María: El deporte en la sociedad actual. Barcelona: Magisterio español; Prensa española; Editora nacional, 1975.	Cagigal, José María	El deporte en la sociedad actual	1975	Primera edición	No ficción	Escrito	Libro	Actualidad, ocio y vida cotidiana	España				diferencia sideral. El «ranking» de los atletas, verdadera medida a nivel general en un deporte competitivo, situaba a España, en 1970, en duodécima posición en Europa y décimo octava del mundo. Antes de los años sesenta a España le rebasaban a nivel de «ranking» bastantes repúblicas hispanoamericanas. En natación, otro deporte verdaderamente representativo a nivel popular deportivo de un país, en 1970, final del período que comentamos, España se clasificaba en séptimo lugar en la Copa de Europa, lo que significaba un décimo o undécimo puesto mundial dentro del más riguroso cómputo.
Cagigal, José María: El deporte en la sociedad actual. Barcelona: Magisterio español; Prensa española; Editora nacional, 1975.	Cagigal, José María	El deporte en la sociedad actual	1975	Primera edición	No ficción	Escrito	Libro	Actualidad, ocio y vida cotidiana	España				puestos en el deporte mundial es cuestión de «jabatismo», de «echarle arrojo» en vez de estudio riguroso, estructuración nacional, fundamentación científica y poderosos medios económicos. Los juegos Olímpicos de 1964 y 1968 significaron una profunda decepción para el nuevo aficionado español que contemplaba por primera vez desde su domicilio unas pruebas atléticas o de natación. Pensaban que habían fracasado los deportistas y los dirigentes. No se daban cuenta, por falta de crítica general, que estos participantes olímpicos constituyen un gremio de españoles dignos de gratitud nacional, porque a pecho descubierto, a la vista de todos, compatriotas y extranjeros, presentes y televidentes, dejaban constancia de la verdad
Cagigal, José María: El deporte en la sociedad actual. Barcelona: Magisterio español; Prensa española; Editora nacional, 1975.	Cagigal, José María	El deporte en la sociedad actual	1975	Primera edición	No ficción	Escrito	Libro	Actualidad, ocio y vida cotidiana	España				Por el contrario, los resultados de algunos deportes, como por ejemplo, la natación, de gran importancia por su amplia representatividad deportiva, no alcanzan en este período los cotos de los precedentes.
Cagigal, José María: El deporte en la sociedad actual. Barcelona: Magisterio español; Prensa española; Editora nacional, 1975.	Cagigal, José María	El deporte en la sociedad actual	1975	Primera edición	No ficción	Escrito	Libro	Actualidad, ocio y vida cotidiana	España				de la educación física. En España eran conocidos a nivel popular unos pocos deportes, más ya como espectáculo que como práctica masiva; así el fútbol, ciclismo, boxeo... Otros, eran practicados por minorías en cotos sociales, así la hípica, el tenis, el golf, la vela. El atletismo, la natación, la gimnástica, se habían iniciado en núcleos más bien de ambiente universitario; pero tenían pocos adeptos antes de la década de los cuarenta. Una seria visión pedagógica del Frente de Juventudes, Sección Femenina, Educación y Descanso, y S.E.U., lanzó a esos cuadros dirigentes a la promoción de otros deportes casi desconocidos
Gasulla, Luis: Culminación de Montoya. Barcelona: Destino, 1979.	Gasulla, Luis	Culminación de Montoya	1975	Fecha de escritura	Ficción	Escrito	Libro	Novela	Argentina	Río de la Plata		Premio Nadal 1974	Con un esfuerzo doloroso él se puso de rodillas y respiró largamente, extrañándose de continuar aún con vida. Al arrojarse al lago había olvidado que uno de los pocos deportes que nunca había aceptado era el de la natación; nadaba poco y mal. Siempre había protestado que semejante ejercicio correspondía a los peces y ahora se asombraba de haber sobrevivido. Cuando miró de nuevo a Jorgelina, su inmovilidad lo alarmó. Sin preocuparse por el cuerpo juvenil que ofrendaba su inerte turbación, practicó con ella movimientos respiratorios confusamente recordados. Pero la cara
Pinillos, José Luis: Principios de psicología. Madrid: Alianza, 1995.	Pinillos, José Luis	Principios de psicología	1975	Primera edición	No ficción	Escrito	Libro	Ciencias sociales, creencias y pensamiento	España				. No obstante, muchos fenómenos mnésicos contradicen la teoría del desuso, que, desde luego, no puede admitirse como una explicación cabal del olvido. Con frecuencia, los ancianos recuerdan con toda viveza acontecimientos de su juventud, a la par que olvidan lo que acaban de hacer un momento antes. Hay aprendizajes motores, como la natación o el montar en bicicleta, que no se olvidan prácticamente jamás, aun cuando dejen de practicarse durante decenios y decenios. Unos recuerdos desaparecen ciertamente con el transcurso del tiempo, mientras otros permanecen invariables a lo largo de la vida; probablemente hemos olvidado la mayoría de lo que aprendimos de niños en la clase
«&#34;El toreo es una actividad mental y espiritual&#34;.». El País. Madrid: Diario El País, S.A., 1976-11-10.		El País	1976	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España			Mayúsculas no acentuadas en el original	Las aficiones de Honey son la natación —sobre todo bucear— y conducir coches de competición. Pero todo lo ha dejado, incluso una vida cómoda en Estados Unidos, para adentrarse a fondo en la profesión de torero, una de las más complicadas, difíciles, duras y peligrosas de cuantas existen.
Puig, Manuel: El beso de la mujer araña. Barcelona: Seix Barral, 1993.	Puig, Manuel	El beso de la mujer araña	1976	Primera edición	Ficción	Escrito	Libro	Novela	Argentina	Río de la Plata			los pasos del animal que se escapa despavorido. Bueno, ahora lo que sigue no me acuerdo si es esa misma noche, creo que sí, la otra se vuelve a la casa, que es como un hotel de mujeres muy grande, un club de mujeres, donde viven, con una pileta grande de natación en el subsuelo. La arquitecta está muy nerviosa, por todo lo que pasó, y esa noche al volver a su hotel donde está prohibido que entren hombres piensa que para calmar los nervios que tiene tan alterados lo mejor es bajar a nadar un rato. Ya es tarde de noche y no hay absolutamente nadie
