BIBLIOGRAFÍA	AUTOR	TÍTULO	FECHA	CRITERIO	BLOQUE	MEDIO	SOPORTE	TEMA	PAÍS	ZONA	TIPOLOGÍA	NOTAS	CONCORDANCIA

«La Moraleja, sede del choque entre España y Argentina». ABC. Madrid: Prensa Española, S.A., 1989-06-28.		ABC	1989	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España				Padel
«La Moraleja, sede del choque entre España y Argentina». ABC. Madrid: Prensa Española, S.A., 1989-06-28.		ABC	1989	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España				El Club de Golf de La Moraleja acogerá en los próximos días dos acontecimientos importantísimos en el mundo del padel. Este fin de semana —30 de junio, 1 y 2 de julio— se desarrollará el Campeonato internacional, cuarto torneo del Circuito Beefeater.
«AUTOMOVILISMO». La Voz de Galicia. La Coruña: Control, 1991.		La Voz de Galicia	1991	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España				PADEL.
«Políticamente correcto, letra de Julio Iglesias». El Mundo. Madrid: Unidad Editorial, 1996.		El Mundo	1996	Primera edición	No ficción	Escrito	Prensa	Política, economía y justicia	España			Versión realizada sobre texto plano	Padel, marisco, boda y teatro
«Políticamente correcto, letra de Julio Iglesias». El Mundo. Madrid: Unidad Editorial, 1996.		El Mundo	1996	Primera edición	No ficción	Escrito	Prensa	Política, economía y justicia	España			Versión realizada sobre texto plano	Aznar pasó su jornada de ayer de reflexión en Madrid jugando por la mañana al padel. A mediodía se reunió con unos amigos a degustar una mariscada, cuya materia prima fue enviada por un amigo gallego. Por la tarde acudió a la boda del alcalde de Alcalá de Henares y por la noche al estreno en Madrid de la obra teatral La gata sobre el tejado de cinc caliente.
«Desesperación en Valencia por la marcha de Mijatovic». El Mundo. Madrid: Unidad Editorial, 1996-03-15.		El Mundo	1996	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España			Incluido en CD-ROM del primer semestre de 1996. Mayúsculas sin acentuar.Versión realizada sobre texto plano	Choya y Lahoz ganan en Madrid el primer nacional de padel
«Desesperación en Valencia por la marcha de Mijatovic». El Mundo. Madrid: Unidad Editorial, 1996-03-15.		El Mundo	1996	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España			Incluido en CD-ROM del primer semestre de 1996. Mayúsculas sin acentuar.Versión realizada sobre texto plano	MADRID.– La nueva edición del Circuito Nacional Beefeater de Padel ha comenzado con el final de la hegemonía de la pareja formada por Alberto Rodríguez Piñón y Pablo Martínez Semprum. Ramiro Choya y Guillermo Lahoz, hasta ahora segunda pareja de España, se hicieron con el triunfo en el madrileño Club Internacional después de una disputada final (7/5, 4/6 y 7/6). D.J.
«Otros resultados». El Mundo. Madrid: Unidad Editorial, 1996.		El Mundo	1996	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España			Versión realizada sobre texto plano. Incluido en CD-ROM del primer semestre de 1996. Por sistema, no se acentúan las mayúsculas	Padel
«Utah consigue su segundo triunfo ante Seattle Supersonics». El Mundo. Madrid: Unidad Editorial, 1996.		El Mundo	1996	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España			Versión realizada sobre texto plano. Incluido en CD-ROM del primer semestre. No se indica el número del periódico. Mayúsculas sin acentuar	Choya y Lahoz ganan su tercer nacional de padel en Santander
