BIBLIOGRAFÍA	AUTOR	TÍTULO	FECHA	CRITERIO	BLOQUE	MEDIO	SOPORTE	TEMA	PAÍS	ZONA	TIPOLOGÍA	NOTAS	CONCORDANCIA

«TENIS DE MESA SUDAMERICANO». El Comercio. Lima: 1975-01-14.		El Comercio	1975	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	Perú	Andina		Procesado por medio de un programa de reconocimiento de voz. Mayúsculas no acentuadas en el original.	TENIS DE MESA SUDAMERICANO
«Stens de Curazao ganó a Universitario 5 a 4». El Comercio. Lima: 1975-01-14.		El Comercio	1975	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	Perú	Andina		Procesado por medio de un programa de reconocimiento de voz. Mayúsculas no acentuadas en el original.	Sudamericano de tenis de mesa
«Stens de Curazao ganó a Universitario 5 a 4». El Comercio. Lima: 1975-01-14.		El Comercio	1975	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	Perú	Andina		Procesado por medio de un programa de reconocimiento de voz. Mayúsculas no acentuadas en el original.	su gran capacidad, al imponerse en forma categórica al Regatas Lima y Universitario de Deportes por tres sets a cero. Las platenses desde ya se ubican como una de las favoritas al título del Torneo de Campeones de Clubes, que se lleva a cabo en el Gimnasio de la Federación Peruana de Tenis de Mesa, en el Estadio Nacional.
Cagigal, José María: El deporte en la sociedad actual. Barcelona: Magisterio español; Prensa española; Editora nacional, 1975.	Cagigal, José María	El deporte en la sociedad actual	1975	Primera edición	No ficción	Escrito	Libro	Actualidad, ocio y vida cotidiana	España				en el párrafo anterior aparecen plenamente decantadas en el siglo xix, en el que se estructuran las formas básicas del deporte moderno, con el esplendor de los grandes clubs, la delimitación, codificación y reglamentación de los distintos deportes, la instauración de las grandes pruebas de «cross country», remo, equitación, tenis, hockey, cricket, pugilismo; nace el fútbol actual, se estructuran las primeras federaciones de deportes específicos.
Cagigal, José María: El deporte en la sociedad actual. Barcelona: Magisterio español; Prensa española; Editora nacional, 1975.	Cagigal, José María	El deporte en la sociedad actual	1975	Primera edición	No ficción	Escrito	Libro	Actualidad, ocio y vida cotidiana	España				En España, por ejemplo, la organización del deporte en su forma actual fue estructurada en la década de los cuarenta. Antes de nuestra Guerra Civil, el deporte español carecía de estructuras generales. Más allá de las federaciones de algunas modalidades deportivas (fútbol, ciclismo, boxeo, tenis, etc.) existía desde 1924 el Comité Olímpico Español sin jurisdicción verdadera sobre ellas, aunque con aceptación por parte de éstas de su superior rango deportivo.
Cagigal, José María: El deporte en la sociedad actual. Barcelona: Magisterio español; Prensa española; Editora nacional, 1975.	Cagigal, José María	El deporte en la sociedad actual	1975	Primera edición	No ficción	Escrito	Libro	Actualidad, ocio y vida cotidiana	España				de responsables pudieron arrastrar a juventudes tan alejadas del deporte y de la educación física. En España eran conocidos a nivel popular unos pocos deportes, más ya como espectáculo que como práctica masiva; así el fútbol, ciclismo, boxeo... Otros, eran practicados por minorías en cotos sociales, así la hípica, el tenis, el golf, la vela. El atletismo, la natación, la gimnástica, se habían iniciado en núcleos más bien de ambiente universitario; pero tenían pocos adeptos antes de la década de los cuarenta. Una seria visión pedagógica del Frente de Juventudes, Sección Femenina, Educación y Descanso, y S.E.U., lanzó
Salisachs, Mercedes: La gangrena. Barcelona: Planeta, 1976.	Salisachs, Mercedes	La gangrena	1975	Primera edición	Ficción	Escrito	Libro	Novela	España			Premio Planeta 1975	— Debes practicar algún deporte. A tu edad es necesario hacer ejercicio. ¿Qué prefieres? ¿Tenis? ¿Jockey?
Salisachs, Mercedes: La gangrena. Barcelona: Planeta, 1976.	Salisachs, Mercedes	La gangrena	1975	Primera edición	Ficción	Escrito	Libro	Novela	España			Premio Planeta 1975	De vez en cuando, Paco me escribía: eran cartas breves y mal redactadas, abocadas sólo a despertar mi envidia: «Hemos presenciado un concurso de tenis... » «El otro día me llevaron a Biarritz.» «Lolita se clavó la púa de un erizo en una playa francesa.» Yo guardaba aquellas cartas como si fueran reliquias. Era mi único nexo con los Moraldo. Mientras aquellas cartas durasen, mis garantías estaban aseguradas. Eran prolongaciones extremas que más adelante
Salisachs, Mercedes: La gangrena. Barcelona: Planeta, 1976.	Salisachs, Mercedes	La gangrena	1975	Primera edición	Ficción	Escrito	Libro	Novela	España			Premio Planeta 1975	«Lolita se clavó la púa de un erizo en una playa francesa.» Yo guardaba aquellas cartas como si fueran reliquias. Era mi único nexo con los Moraldo. Mientras aquellas cartas durasen, mis garantías estaban aseguradas. Eran prolongaciones extremas que más adelante nos obligarían a comentar: «Cuando me dijiste lo del tenis...» o «explícame lo que hiciste en Biarritz...» La vida comunicativa estaba hecha de pequeñeces de ese tipo: naderías ociosas que servían de eslabón para unir otras, acaso menos aparatosas, pero más íntimas y satisfactorias. No obstante, hacia el final del verano, Paco dejó de escribir y yo volví
